date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:00	32762/32762	---M--	200	added ('OK')	image/jpeg	etag:%22660c483e-7ffa%22	https://uithemez.com/i/archin/home1/assets/img/services/ser3.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/services/ser3.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:00	21863/21863	---M--	200	added ('OK')	image/jpeg	etag:%22660c483f-5567%22	https://uithemez.com/i/archin/home1/assets/img/services/ser4.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/services/ser4.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:01	90676/90676	---M--	200	added ('OK')	image/jpeg	etag:%22660c4820-16234%22	https://uithemez.com/i/archin/home1/assets/img/process.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/process.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:01	23970/23970	---M--	200	added ('OK')	image/png	etag:%22660c4815-5da2%22	https://uithemez.com/i/archin/home1/assets/img/c_line2.png	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/c_line2.png	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:01	159688/159688	---M--	200	added ('OK')	image/jpeg	etag:%22660c483b-26fc8%22	https://uithemez.com/i/archin/home1/assets/img/projects/proj1.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/projects/proj1.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:02	179414/179414	---M--	200	added ('OK')	image/jpeg	etag:%22660c483b-2bcd6%22	https://uithemez.com/i/archin/home1/assets/img/projects/proj2.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/projects/proj2.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:02	188610/188610	---M--	200	added ('OK')	image/jpeg	etag:%22660c483b-2e0c2%22	https://uithemez.com/i/archin/home1/assets/img/projects/proj3.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/projects/proj3.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:03	33741/33741	---M--	200	added ('OK')	image/jpeg	etag:%22660c4840-83cd%22	https://uithemez.com/i/archin/home1/assets/img/team/team1.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/team/team1.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:03	15626/15626	---M--	200	added ('OK')	image/png	etag:%22660c4815-3d0a%22	https://uithemez.com/i/archin/home1/assets/img/c_line3.png	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/c_line3.png	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:03	34221/34221	---M--	200	added ('OK')	image/jpeg	etag:%22660c4840-85ad%22	https://uithemez.com/i/archin/home1/assets/img/team/team2.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/team/team2.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:03	38803/38803	---M--	200	added ('OK')	image/jpeg	etag:%22660c4841-9793%22	https://uithemez.com/i/archin/home1/assets/img/team/team3.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/team/team3.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:04	25634/25634	---M--	200	added ('OK')	image/jpeg	etag:%22660c4841-6422%22	https://uithemez.com/i/archin/home1/assets/img/team/team4.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/team/team4.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:04	316530/316530	---M--	200	added ('OK')	image/jpeg	etag:%22660c483d-4d472%22	https://uithemez.com/i/archin/home1/assets/img/services/ser.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/services/ser.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:04	35376/35376	---M--	200	added ('OK')	image/jpeg	etag:%22660c4842-8a30%22	https://uithemez.com/i/archin/home1/assets/img/team/team5.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/team/team5.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:04	6015066/6015066	---M--	200	added ('OK')	image/png	etag:%22660c4820-5bc85a%22	https://uithemez.com/i/archin/home1/assets/img/head_slide3.png	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/head_slide3.png	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:04	32908/32908	---M--	200	added ('OK')	image/jpeg	etag:%22660c4842-808c%22	https://uithemez.com/i/archin/home1/assets/img/team/team6.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/team/team6.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:05	129228/129228	---M--	200	added ('OK')	image/jpeg	etag:%22660c4838-1f8cc%22	https://uithemez.com/i/archin/home1/assets/img/blog/blog1.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/blog/blog1.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:05	138139/138139	---M--	200	added ('OK')	image/jpeg	etag:%22660c4838-21b9b%22	https://uithemez.com/i/archin/home1/assets/img/blog/blog2.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/blog/blog2.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:05	21239/21239	---M--	200	added ('OK')	image/png	etag:%22660c4815-52f7%22	https://uithemez.com/i/archin/home1/assets/img/c_line4.png	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/c_line4.png	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:05	86345/86345	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47ca-15149%22	https://uithemez.com/i/archin/common/assets/js/lib/jquery-3.0.0.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/jquery-3.0.0.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:06	7084/7084	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47c9-1bac%22	https://uithemez.com/i/archin/common/assets/js/lib/jquery-migrate-3.0.0.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/jquery-migrate-3.0.0.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:06	78701/78701	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47c6-1336d%22	https://uithemez.com/i/archin/common/assets/js/lib/bootstrap.bundle.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/bootstrap.bundle.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:06	8416/8416	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47d3-20e0%22	https://uithemez.com/i/archin/common/assets/js/lib/wow.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/wow.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:06	62067/62067	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47cb-f273%22	https://uithemez.com/i/archin/common/assets/js/lib/jquery.fancybox.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/jquery.fancybox.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:07	18523/18523	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47cc-485b%22	https://uithemez.com/i/archin/common/assets/js/lib/lity.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/lity.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:07	139382/139382	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47d2-22076%22	https://uithemez.com/i/archin/common/assets/js/lib/swiper8-bundle.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/swiper8-bundle.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:07	9036/9036	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47cc-234c%22	https://uithemez.com/i/archin/common/assets/js/lib/jquery.waypoints.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/jquery.waypoints.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:08	1115/1115	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47ca-45b%22	https://uithemez.com/i/archin/common/assets/js/lib/jquery.counterup.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/jquery.counterup.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:08	2162/2162	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47ce-872%22	https://uithemez.com/i/archin/common/assets/js/lib/parallaxie.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/lib/parallaxie.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:08	71384/71384	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47c1-116d8%22	https://uithemez.com/i/archin/common/assets/js/gsap_lib/gsap.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/gsap_lib/gsap.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:08	12188/12188	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47c1-2f9c%22	https://uithemez.com/i/archin/common/assets/js/gsap_lib/ScrollSmoother.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/gsap_lib/ScrollSmoother.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:10	41321/41321	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47c2-a169%22	https://uithemez.com/i/archin/common/assets/js/gsap_lib/ScrollTrigger.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/gsap_lib/ScrollTrigger.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:10	15571/15571	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c47c2-3cd3%22	https://uithemez.com/i/archin/common/assets/js/gsap_lib/SplitText.min.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/gsap_lib/SplitText.min.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:10	3904/3904	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c477f-f40%22	https://uithemez.com/i/archin/common/assets/js/common_js.js	D:/rocks/rocks/uithemez.com/i/archin/common/assets/js/common_js.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:11	7079/7079	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660c4825-1ba7%22	https://uithemez.com/i/archin/home1/assets/js/home_1_scripts.js	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/js/home_1_scripts.js	(from https://uithemez.com/i/archin/home1/home-1.html)
21:10:13	31404/31404	---M--	200	added ('OK')	image/jpeg	etag:%22660c4843-7aac%22	https://uithemez.com/i/archin/home1/assets/img/team/team7.jpg	D:/rocks/rocks/uithemez.com/i/archin/home1/assets/img/team/team7.jpg	(from https://uithemez.com/i/archin/home1/home-1.html)
